theme,model,n_test,pos_rate_test,macro_f1,macro_recall,roc_auc,accuracy,brier,ece,threshold,n_features
Finance/Crypto,style,14701,0.6755322767158697,0.8624918957157034,0.8791092078317329,0.9299454284880138,0.8744983334467044,0.1263814954617149,0.17852689058097548,0.65,36.0
Finance/Crypto,tfidf,14701,0.6755322767158697,0.6745196623446676,0.707800025627564,0.7651263318575319,0.6857356642405279,0.20902019917053266,0.1585657881264655,0.5,
Finance/Crypto,combined,14701,0.6755322767158697,0.7243273382320408,0.7778779448213639,0.876584829453206,0.7293381402625672,0.2546586681889811,0.3210512829149377,0.35,
Public health & medicine,style,13732,0.4467666763763472,0.5048952241975079,0.5055573882325402,0.6232126545040567,0.5151471016603554,0.250872228344231,0.24121508086586063,0.6,36.0
Public health & medicine,tfidf,13732,0.4467666763763472,0.5974923775554997,0.5972358475051116,0.6123126391739372,0.6039178561025342,0.25882736468370904,0.15163815373393336,0.6,
Public health & medicine,combined,13732,0.4467666763763472,0.5459857487715061,0.5460760526261867,0.6338858827622408,0.5542528400815613,0.23980529137294065,0.10176991944528023,0.55,
Politics,style,17499,0.2203554488827933,0.7203118744297408,0.7636388206010833,0.8656164166080944,0.7773587062117835,0.19510771387258005,0.29696179158821406,0.55,36.0
Politics,tfidf,17499,0.2203554488827933,0.3037633724186263,0.5177770590788279,0.6812197247961732,0.3087033544773987,0.28143991973906124,0.3553091761970711,0.5,
Politics,combined,17499,0.2203554488827933,0.5709648750843583,0.6920570293065951,0.8270175561586308,0.5884336247785588,0.2376987795733761,0.330791640898409,0.5,
Lifestyle & well-being,style,2501,0.23550579768092764,0.4383602996668323,0.5843533114064686,0.6308188476319696,0.43902439024390244,0.26035927689145477,0.37794461252353884,0.4,36.0
Lifestyle & well-being,tfidf,2501,0.23550579768092764,0.3198620422805094,0.5061025530826662,0.5790055302583629,0.32387045181927226,0.26511708382010774,0.2973208952888078,0.45,
Lifestyle & well-being,combined,2501,0.23550579768092764,0.3755617696993908,0.5468211670017262,0.6278854487074753,0.37624950019992004,0.3210398644479354,0.3820734273363321,0.5,
Crime & public safety,style,3338,0.09976033553025764,0.8200347556905729,0.9068444484417861,0.930827499712691,0.9188136608747753,0.1867339681951992,0.3774758569903262,0.55,36.0
Crime & public safety,tfidf,3338,0.09976033553025764,0.6269974298804335,0.8056557389336092,0.904874258618019,0.7510485320551228,0.23475345699769753,0.41647548115344046,0.55,
Crime & public safety,combined,3338,0.09976033553025764,0.5889661826622045,0.805918064487116,0.9503610099283977,0.6938286399041342,0.11161384211137215,0.2602316126479922,0.35,
Gaming/Gambling,style,654,0.9220183486238532,0.8788059460983765,0.8822066139888791,0.9284947809969759,0.9648318042813455,0.04782462403223502,0.11906793953975252,0.55,36.0
Gaming/Gambling,tfidf,654,0.9220183486238532,0.6724640320524495,0.7565115598478197,0.8440802523331057,0.8654434250764526,0.11022166725056125,0.22346335419035762,0.55,
Gaming/Gambling,combined,654,0.9220183486238532,0.7567540152155536,0.8107989464442493,0.8830358013852309,0.9159021406727829,0.14029114230094847,0.2823655442050968,0.35,
News/Information,style,8502,0.20912726417313574,0.5985773217046773,0.7424587244857331,0.857234406711951,0.6175017642907551,0.20468274764492397,0.339413419629176,0.45,36.0
News/Information,tfidf,8502,0.20912726417313574,0.48979413084951184,0.6477548147796219,0.7774513202209034,0.49682427664079043,0.2530537098746957,0.3393075276544929,0.5,
News/Information,combined,8502,0.20912726417313574,0.6456984836342499,0.765407930492924,0.892849238394576,0.6757233592095977,0.3169156098923301,0.44517626979342456,0.65,
Sports,style,512,0.072265625,0.7768747865210888,0.8364438122332859,0.8795163584637268,0.927734375,0.14491690637598792,0.3328906900871283,0.5,36.0
Sports,tfidf,512,0.072265625,0.43223119922149045,0.679800853485064,0.7978378378378379,0.521484375,0.2212510477337693,0.39788942740017635,0.45,
Sports,combined,512,0.072265625,0.5685427398105728,0.788221906116643,0.8669132290184921,0.72265625,0.13515695630728794,0.2757970330881649,0.4,
Technology,style,2462,0.3586515028432169,0.6844759509592333,0.7343072331715028,0.7819433576449679,0.6848090982940699,0.1988398299709981,0.19964305823875617,0.4,36.0
Technology,tfidf,2462,0.3586515028432169,0.45687729566822766,0.5459083224972154,0.6127772713351987,0.46588139723801786,0.26165728729247595,0.20446620575907257,0.5,
Technology,combined,2462,0.3586515028432169,0.6515504813055759,0.6821712209442019,0.749472299583219,0.6547522339561332,0.28767078216674496,0.30505430845107623,0.65,
Conversation/Chat/Other,style,5386,0.9647233568510954,0.7008043633650869,0.8246292694785462,0.8106752157530083,0.935573709617527,0.04022544401590599,0.09995664641492832,0.7,36.0
Conversation/Chat/Other,tfidf,5386,0.9647233568510954,0.4790625154802596,0.6696821441594749,0.6986771200518618,0.7099888600074267,0.15661499120783903,0.32600227109553637,0.55,
Conversation/Chat/Other,combined,5386,0.9647233568510954,0.5131645014035667,0.7168125278554354,0.7487616992828493,0.7617898254734496,0.34448493074560943,0.5220928369440856,0.25,
Other theme,style,288,0.4375,0.691667794691311,0.6909171075837742,0.7901724475798549,0.6979166666666666,0.19365283360475155,0.1690918049148645,0.35,36.0
Other theme,tfidf,288,0.4375,0.5716447445000582,0.6432980599647267,0.8530766215951401,0.6006944444444444,0.20791390201978419,0.198436840078817,0.45,
Other theme,combined,288,0.4375,0.6942524195141221,0.7319223985890653,0.9134822653341171,0.7013888888888888,0.22550669586025057,0.274401006977562,0.6,
