best_lr,threshold,test_macro_f1,test_macro_recall,test_recall_pos,test_roc_auc,test_accuracy,test_brier,test_ece,model,split_seed,n_features,fields
0.01,0.4,0.7966191622687163,0.7974345929806477,0.8191183517010062,0.8553784405075545,0.7966316760872073,0.17183325146432532,0.17842560729559837,tags_full,0,36,claim+cta+evidence+theme
0.001,0.5,0.7193123122579459,0.7191266663220008,0.6665069477719214,0.7219571818338323,0.7210750951666859,0.2476827444894167,0.21617278856660008,tags_theme_only,0,11,theme
0.003,0.45,0.7949953711746338,0.7980245579792913,0.8699089602299952,0.8001989646164908,0.7953627869419772,0.23021187493473405,0.24781559423406685,tags_claim_only,0,12,claim
0.01,0.35,0.7936296716016813,0.7945852629738734,0.8203162434115956,0.808068513542972,0.7936324835621179,0.1972803594563143,0.17025665682643604,tags_cta_only,0,8,cta
0.001,0.5,0.5310101393775539,0.5821148771488098,0.23430761859127935,0.5868084274013665,0.5949936555542739,0.2486313640936795,0.09302083969009797,tags_evidence_only,0,5,evidence
0.01,0.4,0.7940780710455018,0.7948591124781674,0.8155246765692381,0.8535452797736718,0.794093897796747,0.17485012247956422,0.19392932581489716,tags_style_only_no_theme,0,25,claim+cta+evidence
0.01,0.4,0.7646367525511293,0.7645695877813447,0.7522759942501198,0.8296834367952893,0.7650248010151113,0.18952789270543335,0.12155812555207166,tags_drop_claim,0,24,cta+evidence+theme
0.01,0.5,0.7658009333463076,0.7657418160944414,0.7539530426449449,0.8440667717364713,0.7661783366016841,0.19002052856240095,0.20161089246839412,tags_drop_cta,0,28,claim+evidence+theme
0.01,0.4,0.803091213356451,0.804151341025779,0.832774317201725,0.8526541496088129,0.8030914753720152,0.1730858291872911,0.1807268369850054,tags_drop_evidence,0,31,claim+cta+theme
0.01,0.4,0.8776779778105144,0.8771561764415612,0.8304405874499332,0.9434176240403909,0.8943015815525776,0.13004114548377724,0.20635813313651868,tags_full,1,36,claim+cta+evidence+theme
0.001,0.5,0.8086583055973435,0.7951721214303241,0.6660308983406447,0.8003759747355111,0.8425691174695159,0.24607109865621066,0.33718013739535035,tags_theme_only,1,11,theme
0.003,0.45,0.8397637421539739,0.8668168922706545,0.906732786572573,0.8871655691142524,0.8521670892188821,0.22266340406095525,0.30038639247287163,tags_claim_only,1,12,claim
0.01,0.35,0.8919385750765445,0.8955457092973782,0.8680144955178333,0.8992885868659001,0.9056501267656646,0.16057952767957454,0.2701602562607486,tags_cta_only,1,8,cta
0.001,0.5,0.5488327548622424,0.557696177720734,0.21934007247758916,0.5649673336754005,0.681878546420379,0.2492270664238345,0.184169418805376,tags_evidence_only,1,5,evidence
0.01,0.4,0.8912853874914786,0.8919470966187675,0.8542818996757582,0.9407078882498846,0.9057708559700591,0.13457240342494223,0.2291765365015113,tags_style_only_no_theme,1,25,claim+cta+evidence
0.01,0.4,0.8585068300680768,0.8508836441380254,0.7707419416364677,0.92441021735343,0.8802969938428106,0.15052011463731635,0.22188760281357217,tags_drop_claim,1,24,cta+evidence+theme
0.01,0.5,0.849923364894053,0.842891854359115,0.7612054167461377,0.9158911604154323,0.8728721477725462,0.16762052552042322,0.25574685636471217,tags_drop_cta,1,28,claim+evidence+theme
0.01,0.4,0.8874335746812938,0.8897213796827366,0.8561892046538242,0.9415047351040079,0.9020282506338283,0.13123487041417228,0.21858395181866438,tags_drop_evidence,1,31,claim+cta+theme
0.01,0.4,0.8859984684919803,0.9098574960401483,0.9009668286950483,0.961217030072238,0.9057076820621303,0.14550003951638432,0.2900017733437227,tags_full,2,36,claim+cta+evidence+theme
0.001,0.5,0.5219289558265316,0.6558140632376724,0.36937129426846854,0.8723587064537377,0.522113840247581,0.24868371599037753,0.23571251640690472,tags_theme_only,2,11,theme
0.001,0.5,0.5824737578338071,0.6902436999512915,0.46835104962341756,0.8580177403740903,0.5866729345398989,0.24827183411915468,0.2420729822841651,tags_claim_only,2,12,claim
0.003,0.45,0.843532818905478,0.8842720329766813,0.8433310186421665,0.9139383262863153,0.8651623770909234,0.22810481409684805,0.2700142803961169,tags_cta_only,2,8,cta
0.001,0.5,0.7203363487945171,0.7861820149987531,0.6885850114844293,0.8179260051118262,0.7406275708073804,0.24643030165249044,0.23679831993854078,tags_evidence_only,2,5,evidence
0.01,0.45,0.848301996260868,0.8879512860976961,0.848779445542439,0.9516319318320181,0.869667410976613,0.152114319119438,0.29104635142928587,tags_style_only_no_theme,2,25,claim+cta+evidence
